id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        if target - num in seen:
            return 1
        seen.add(num)
    return 0",3342.56,97,0,47,144,OK,
TYR-002,count_pairs_with_sum,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    count = 0
    seen = {}
    for num in nums:
        complement = target - num
        if complement in seen:
            count += seen[complement]
        if num in seen:
            seen[num] += 1
        else:
            seen[num] = 1
    return count",2510.56,105,0,81,186,OK,
TYR-003,has_pair_with_diff,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    seen = set()
    for num in nums:
        if num - target in seen or num + target in seen:
            return 1
        seen.add(num)
    return 0",1901.78,99,0,54,153,OK,
TYR-004,count_equal_pairs,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","def count_equal_pairs(nums):
    count = 0
    num_count = {}
    for num in nums:
        if num in num_count:
            count += num_count[num]
            num_count[num] += 1
        else:
            num_count[num] = 1
    return count",1221.20,99,0,68,167,OK,
TYR-005,closest_pair_sum,Codestral-2501,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    nums.sort()
    best = nums[0] + nums[1]
    left, right = 0, len(nums) - 1
    while left < right:
        s = nums[left] + nums[right]
        if abs(s - target) < abs(best - target):
            best = s
        if s < target:
            left += 1
        else:
            right -= 1
    return best",16517.09,134,0,120,254,OK,
TYR-006,count_pairs_divisible_sum,Codestral-2501,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    remainder_count = [0] * k
    for num in nums:
        remainder = num % k
        count += remainder_count[(k - remainder) % k]
        remainder_count[remainder] += 1
    return count",1373.38,123,0,87,210,OK,
TYR-007,max_pair_sum,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    max1 = max(nums)
    nums.remove(max1)
    max2 = max(nums)
    return max1 + max2",1137.82,124,0,53,177,OK,
TYR-008,count_pairs_sum_less,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
    return count",1987.35,106,0,87,193,OK,
TYR-009,count_pairs_sum_greater,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    count = 0
    nums.sort()
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] > target:
            count += right - left
            right -= 1
        else:
            left += 1
    return count",1339.38,107,0,88,195,OK,
TYR-010,has_pair_product,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    for num in nums:
        if target / num in seen:
            return 1
        seen.add(num)
    return 0",1902.52,97,0,47,144,OK,
TYR-011,min_abs_pair_diff,Codestral-2501,pair-finding,easy,O(N^2),O(N log N),"def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    best = abs(nums[0] - nums[1])
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            d = abs(nums[i] - nums[j])
            if d < best:
                best = d
    return best
","def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    nums.sort()
    best = abs(nums[0] - nums[1])
    for i in range(1, len(nums)):
        d = abs(nums[i] - nums[i - 1])
        if d < best:
            best = d
    return best",1416.99,130,0,84,214,OK,
TYR-012,count_reverse_pairs,Codestral-2501,pair-finding,medium,O(N^2),O(N log N),"def count_reverse_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] > 2 * nums[j]:
                count += 1
    return count
","def count_reverse_pairs(nums):
    def merge_sort_and_count(arr):
        if len(arr) <= 1:
            return arr, 0

        mid = len(arr) // 2
        left, left_count = merge_sort_and_count(arr[:mid])
        right, right_count = merge_sort_and_count(arr[mid:])

        merged, split_count = merge_and_count(left, right)
        return merged, left_count + right_count + split_count

    def merge_and_count(left, right):
        i, j, count = 0, 0, 0
        merged = []

        while i < len(left) and j < len(right):
            if left[i] > 2 * right[j]:
                count += len(left) - i
                j += 1
            else:
                i += 1

        i, j = 0, 0
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                merged.append(left[i])
                i += 1
            else:
                merged.append(right[j])
                j += 1

        merged.extend(left[i:])
        merged.extend(right[j:])
        return merged, count

    _, count = merge_sort_and_count(nums)
    return count",2869.23,105,0,273,378,OK,
TYR-013,count_pairs_abs_diff_k,Codestral-2501,pair-finding,easy,O(N^2),O(N),"def count_pairs_abs_diff_k(nums, k):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == k:
                count += 1
    return count
","def count_pairs_abs_diff_k(nums, k):
    count = 0
    seen = {}
    for num in nums:
        if num - k in seen:
            count += seen[num - k]
        if num + k in seen:
            count += seen[num + k]
        if num in seen:
            seen[num] += 1
        else:
            seen[num] = 1
    return count",10483.47,108,0,94,202,OK,
TYR-014,count_distinct_pair_sums,Codestral-2501,pair-finding,medium,O(N^2),O(N),"def count_distinct_pair_sums(nums):
    seen = {}
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            seen[s] = 1
    total = 0
    for k in seen:
        total += 1
    return total
","def count_distinct_pair_sums(nums):
    seen = set()
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            seen.add(nums[i] + nums[j])
    return len(seen)",1839.59,120,0,56,176,OK,
TYR-015,two_sum_less_than_k,Codestral-2501,pair-finding,medium,O(N^2),O(N log N),"def two_sum_less_than_k(nums, k):
    best = -1
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s < k and s > best:
                best = s
    return best
","def two_sum_less_than_k(nums, k):
    nums.sort()
    left, right = 0, len(nums) - 1
    best = -1
    while left < right:
        s = nums[left] + nums[right]
        if s < k:
            best = max(best, s)
            left += 1
        else:
            right -= 1
    return best",2152.57,116,0,94,210,OK,
TYR-016,most_frequent_element,Codestral-2501,frequency,easy,O(N^2),O(N),"def most_frequent_element(nums):
    if len(nums) == 0:
        return -1
    best = nums[0]
    best_count = 0
    for i in range(len(nums)):
        count = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                count += 1
        if count > best_count:
            best_count = count
            best = nums[i]
    return best
","def most_frequent_element(nums):
    if len(nums) == 0:
        return -1
    frequency = {}
    for num in nums:
        if num in frequency:
            frequency[num] += 1
        else:
            frequency[num] = 1
    best = nums[0]
    best_count = 0
    for num, count in frequency.items():
        if count > best_count:
            best_count = count
            best = num
    return best",2117.29,142,0,107,249,OK,
TYR-017,has_duplicate,Codestral-2501,frequency,easy,O(N^2),O(N),"def has_duplicate(nums):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                return 1
    return 0
","def has_duplicate(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return 1
        seen.add(num)
    return 0",1577.46,92,0,43,135,OK,
TYR-018,first_non_repeating,Codestral-2501,frequency,easy,O(N^2),O(N),"def first_non_repeating(nums):
    for i in range(len(nums)):
        found_dup = 0
        for j in range(len(nums)):
            if i != j and nums[i] == nums[j]:
                found_dup = 1
        if found_dup == 0:
            return nums[i]
    return -1
","def first_non_repeating(nums):
    from collections import Counter
    count = Counter(nums)
    for num in nums:
        if count[num] == 1:
            return num
    return -1",1453.90,119,0,50,169,OK,
TYR-019,count_distinct,Codestral-2501,frequency,easy,O(N^2),O(N),"def count_distinct(nums):
    count = 0
    for i in range(len(nums)):
        is_first = 1
        for j in range(i):
            if nums[j] == nums[i]:
                is_first = 0
        count += is_first
    return count
","def count_distinct(nums):
    seen = set()
    count = 0
    for num in nums:
        if num not in seen:
            seen.add(num)
            count += 1
    return count",2165.16,106,0,50,156,OK,
TYR-020,majority_element,Codestral-2501,frequency,easy,O(N^2),O(N),"def majority_element(nums):
    n = len(nums)
    for i in range(n):
        count = 0
        for j in range(n):
            if nums[j] == nums[i]:
                count += 1
        if count > n // 2:
            return nums[i]
    return -1
","def majority_element(nums):
    count = 0
    candidate = None

    for num in nums:
        if count == 0:
            candidate = num
        count += (1 if num == candidate else -1)

    return candidate",1137.55,111,0,56,167,OK,
TYR-021,find_first_duplicate,Codestral-2501,frequency,easy,O(N^2),O(N),"def find_first_duplicate(nums):
    for i in range(len(nums)):
        for j in range(i):
            if nums[j] == nums[i]:
                return nums[i]
    return -1
","def find_first_duplicate(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return num
        seen.add(num)
    return -1",7537.72,87,0,43,130,OK,
TYR-022,count_elements_appearing_twice,Codestral-2501,frequency,medium,O(N^2),O(N),"def count_elements_appearing_twice(nums):
    result = 0
    for i in range(len(nums)):
        is_first = 1
        for k in range(i):
            if nums[k] == nums[i]:
                is_first = 0
        if is_first == 0:
            continue
        count = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                count += 1
        if count == 2:
            result += 1
    return result
","def count_elements_appearing_twice(nums):
    from collections import Counter
    counter = Counter(nums)
    return sum(1 for count in counter.values() if count == 2)",1143.06,158,0,45,203,OK,
TYR-023,count_inversions,Codestral-2501,frequency,medium,O(N^2),O(N log N),"def count_inversions(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] > nums[j]:
                count += 1
    return count
","def count_inversions(nums):
    def merge_sort_and_count(arr):
        if len(arr) <= 1:
            return arr, 0
        mid = len(arr) // 2
        left, left_count = merge_sort_and_count(arr[:mid])
        right, right_count = merge_sort_and_count(arr[mid:])
        merged, split_count = merge_and_count(left, right)
        return merged, left_count + right_count + split_count

    def merge_and_count(left, right):
        merged = []
        count = 0
        i = j = 0
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                merged.append(left[i])
                i += 1
            else:
                merged.append(right[j])
                j += 1
                count += len(left) - i
        merged.extend(left[i:])
        merged.extend(right[j:])
        return merged, count

    _, inversions = merge_sort_and_count(nums)
    return inversions",2358.73,100,0,220,320,OK,
TYR-024,missing_number,Codestral-2501,frequency,easy,O(N^2),O(N),"def missing_number(nums):
    n = len(nums)
    for i in range(n + 1):
        found = 0
        for j in range(n):
            if nums[j] == i:
                found = 1
        if found == 0:
            return i
    return -1
","def missing_number(nums):
    n = len(nums)
    total_sum = n * (n + 1) // 2
    array_sum = sum(nums)
    return total_sum - array_sum",2678.88,110,0,47,157,OK,
TYR-025,count_matching_last_digit_pairs,Codestral-2501,frequency,easy,O(N^2),O(N),"def count_matching_last_digit_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] % 10 == nums[j] % 10:
                count += 1
    return count
","def count_matching_last_digit_pairs(nums):
    from collections import defaultdict
    last_digit_count = defaultdict(int)
    count = 0
    for num in nums:
        last_digit = num % 10
        count += last_digit_count[last_digit]
        last_digit_count[last_digit] += 1
    return count",2688.04,112,0,86,198,OK,
TYR-026,count_unique_elements,Codestral-2501,frequency,easy,O(N^2),O(N),"def count_unique_elements(nums):
    count = 0
    for i in range(len(nums)):
        freq = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                freq += 1
        if freq == 1:
            count += 1
    return count
","def count_unique_elements(nums):
    freq = {}
    for num in nums:
        if num in freq:
            freq[num] += 1
        else:
            freq[num] = 1
    count = 0
    for value in freq.values():
        if value == 1:
            count += 1
    return count",1260.75,112,0,76,188,OK,
TYR-027,single_number,Codestral-2501,frequency,easy,O(N^2),O(N),"def single_number(nums):
    for i in range(len(nums)):
        count = 0
        for j in range(len(nums)):
            if nums[j] == nums[i]:
                count += 1
        if count == 1:
            return nums[i]
    return -1
","def single_number(nums):
    result = 0
    for num in nums:
        result ^= num
    return result",936.56,105,0,32,137,OK,
TYR-028,count_greater_than_all_right,Codestral-2501,frequency,medium,O(N^2),O(N),"def count_greater_than_all_right(nums):
    count = 0
    n = len(nums)
    for i in range(n):
        is_leader = 1
        for j in range(i + 1, n):
            if nums[j] >= nums[i]:
                is_leader = 0
        count += is_leader
    return count
","def count_greater_than_all_right(nums):
    if not nums:
        return 0
    max_right = [0] * len(nums)
    max_right[-1] = nums[-1]
    for i in range(len(nums) - 2, -1, -1):
        max_right[i] = max(nums[i], max_right[i + 1])
    count = 0
    for i in range(len(nums) - 1):
        if nums[i] > max_right[i + 1]:
            count += 1
    return count",1678.96,124,0,124,248,OK,
TYR-029,kth_largest,Codestral-2501,frequency,medium,O(N^2),O(N log N),"def kth_largest(nums, k):
    n = len(nums)
    for target_rank in range(k):
        max_val = nums[0]
        max_idx = 0
        for i in range(1, n):
            if nums[i] > max_val:
                max_val = nums[i]
                max_idx = i
        if target_rank == k - 1:
            return max_val
        nums[max_idx] = nums[0] - 1
    return -1
","def kth_largest(nums, k):
    import heapq
    return heapq.nlargest(k, nums)[-1]",2753.82,153,0,32,185,OK,
TYR-030,frequency_of_max,Codestral-2501,frequency,easy,O(N),O(N),"def frequency_of_max(nums):
    if len(nums) == 0:
        return 0
    max_val = nums[0]
    for i in range(len(nums)):
        if nums[i] > max_val:
            max_val = nums[i]
    count = 0
    for i in range(len(nums)):
        if nums[i] == max_val:
            count += 1
    return count
","def frequency_of_max(nums):
    if len(nums) == 0:
        return 0
    max_val = nums[0]
    count = 1
    for i in range(1, len(nums)):
        if nums[i] > max_val:
            max_val = nums[i]
            count = 1
        elif nums[i] == max_val:
            count += 1
    return count",1426.95,131,0,91,222,OK,
TYR-031,max_subarray_sum,Codestral-2501,subarray,medium,O(N^2),O(N),"def max_subarray_sum(nums):
    if len(nums) == 0:
        return 0
    best = nums[0]
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur > best:
                best = cur
    return best
","def max_subarray_sum(nums):
    if len(nums) == 0:
        return 0
    best = nums[0]
    cur = 0
    for num in nums:
        cur = max(num, cur + num)
        best = max(best, cur)
    return best",1905.81,123,0,68,191,OK,
TYR-032,has_subarray_with_sum,Codestral-2501,subarray,medium,O(N^2),O(N),"def has_subarray_with_sum(nums, target):
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur == target:
                return 1
    return 0
","def has_subarray_with_sum(nums, target):
    prefix_sum = 0
    seen = {0}
    for num in nums:
        prefix_sum += num
        if prefix_sum - target in seen:
            return 1
        seen.add(prefix_sum)
    return 0",1728.83,106,0,65,171,OK,
TYR-033,count_subarrays_with_sum,Codestral-2501,subarray,medium,O(N^2),O(N),"def count_subarrays_with_sum(nums, k):
    count = 0
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur == k:
                count += 1
    return count
","def count_subarrays_with_sum(nums, k):
    count = 0
    prefix_sum = 0
    sum_count = {0: 1}

    for num in nums:
        prefix_sum += num
        if prefix_sum - k in sum_count:
            count += sum_count[prefix_sum - k]
        if prefix_sum in sum_count:
            sum_count[prefix_sum] += 1
        else:
            sum_count[prefix_sum] = 1

    return count",12906.31,112,0,108,220,OK,
TYR-034,longest_subarray_sum_k,Codestral-2501,subarray,medium,O(N^2),O(N),"def longest_subarray_sum_k(nums, k):
    best = 0
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur == k:
                length = j - i + 1
                if length > best:
                    best = length
    return best
","def longest_subarray_sum_k(nums, k):
    best = 0
    prefix_sum = 0
    sum_index = {0: -1}
    for i, num in enumerate(nums):
        prefix_sum += num
        if prefix_sum - k in sum_index:
            best = max(best, i - sum_index[prefix_sum - k])
        if prefix_sum not in sum_index:
            sum_index[prefix_sum] = i
    return best",1976.56,127,0,103,230,OK,
TYR-035,max_window_sum_size_k,Codestral-2501,subarray,easy,O(N^2),O(N),"def max_window_sum_size_k(nums, k):
    if len(nums) == 0 or k <= 0:
        return 0
    best = 0
    n = len(nums)
    for i in range(n - k + 1):
        cur = 0
        for j in range(i, i + k):
            cur += nums[j]
        if i == 0 or cur > best:
            best = cur
    return best
","def max_window_sum_size_k(nums, k):
    if len(nums) == 0 or k <= 0:
        return 0
    best = sum(nums[:k])
    current_sum = best
    for i in range(k, len(nums)):
        current_sum += nums[i] - nums[i - k]
        best = max(best, current_sum)
    return best",1795.23,142,0,85,227,OK,
TYR-036,min_subarray_len_ge_target,Codestral-2501,subarray,medium,O(N^2),O(N),"def min_subarray_len_ge_target(nums, target):
    best = 0
    n = len(nums)
    for i in range(n):
        cur = 0
        for j in range(i, n):
            cur += nums[j]
            if cur >= target:
                length = j - i + 1
                if best == 0 or length < best:
                    best = length
                break
    return best
","def min_subarray_len_ge_target(nums, target):
    best = float('inf')
    n = len(nums)
    left = 0
    current_sum = 0

    for right in range(n):
        current_sum += nums[right]
        while current_sum >= target:
            best = min(best, right - left + 1)
            current_sum -= nums[left]
            left += 1

    return 0 if best == float('inf') else best",1580.28,137,0,107,244,OK,
