id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        complement = target - num
        if complement in seen:
            return 1
        seen.add(num)
    return 0",2819.25,100,0,57,157,OK,
TYR-002,count_pairs_with_sum,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    count = {}
    pairs = 0
    for num in nums:
        complement = target - num
        if complement in count:
            pairs += count[complement]
        count[num] = count.get(num, 0) + 1
    return pairs",71392.18,108,0,77,185,OK,
TYR-003,has_pair_with_diff,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    seen = set()
    for num in nums:
        if num + target in seen or num - target in seen:
            return 1
        seen.add(num)
    return 0",51221.49,102,0,59,161,OK,
TYR-004,count_equal_pairs,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","from collections import defaultdict

def count_equal_pairs(nums):
    freq = defaultdict(int)
    count = 0
    for num in nums:
        count += freq[num]
        freq[num] += 1
    return count",55881.90,102,0,57,159,OK,
TYR-005,closest_pair_sum,DeepSeek-V3-0324,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    nums_sorted = sorted(nums)
    left, right = 0, len(nums_sorted) - 1
    best = nums_sorted[left] + nums_sorted[right]
    while left < right:
        current_sum = nums_sorted[left] + nums_sorted[right]
        if abs(current_sum - target) < abs(best - target):
            best = current_sum
        if current_sum < target:
            left += 1
        elif current_sum > target:
            right -= 1
        else:
            return best
    return best",56590.84,137,0,149,286,OK,
TYR-006,count_pairs_divisible_sum,DeepSeek-V3-0324,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    freq = {}
    for num in nums:
        mod = num % k
        complement = (k - mod) % k
        count += freq.get(complement, 0)
        freq[mod] = freq.get(mod, 0) + 1
    return count",55319.12,125,0,95,220,OK,
TYR-007,max_pair_sum,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    max1 = max2 = float('-inf')
    for num in nums:
        if num > max1:
            max2 = max1
            max1 = num
        elif num > max2:
            max2 = num
    return max1 + max2",56854.01,127,0,88,215,OK,
TYR-008,count_pairs_sum_less,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
    return count",57573.42,109,0,89,198,OK,
TYR-009,count_pairs_sum_greater,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums.sort()
    left = 0
    right = len(nums) - 1
    count = 0
    while left < right:
        if nums[left] + nums[right] > target:
            count += right - left
            right -= 1
        else:
            left += 1
    return count",47666.58,110,0,91,201,OK,
TYR-010,has_pair_product,DeepSeek-V3-0324,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    for num in nums:
        if target % num == 0:
            complement = target // num
            if complement in seen:
                return 1
            seen.add(num)
    return 0",10220.47,100,0,66,166,OK,
