id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,gpt-5,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for x in nums:
        if target - x in seen:
            return 1
        seen.add(x)
    return 0",6211.37,101,128,179,280,OK,
TYR-002,count_pairs_with_sum,gpt-5,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    count = 0
    seen = {}
    for num in nums:
        count += seen.get(target - num, 0)
        seen[num] = seen.get(num, 0) + 1
    return count",29418.19,108,1472,1538,1646,OK,
TYR-003,has_pair_with_diff,gpt-5,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    if target < 0:
        return 0
    seen = set()
    if target == 0:
        for x in nums:
            if x in seen:
                return 1
            seen.add(x)
        return 0
    for x in nums:
        if (x + target) in seen or (x - target) in seen:
            return 1
        seen.add(x)
    return 0",50764.78,103,1280,1388,1491,OK,
TYR-004,count_equal_pairs,gpt-5,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","def count_equal_pairs(nums):
    count = 0
    freq = {}
    for x in nums:
        c = freq.get(x, 0)
        count += c
        freq[x] = c + 1
    return count",52494.28,102,768,828,930,OK,
TYR-005,closest_pair_sum,gpt-5,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    n = len(nums)
    if n < 2:
        return 0
    arr = sorted(nums)
    l, r = 0, n - 1
    best = arr[l] + arr[r]
    while l < r:
        s = arr[l] + arr[r]
        if abs(s - target) < abs(best - target):
            best = s
            if best == target:
                return best
        if s < target:
            l += 1
        else:
            r -= 1
    return best",179525.34,137,6272,6405,6542,OK,
TYR-006,count_pairs_divisible_sum,gpt-5,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    m = abs(k)
    count = 0
    freq = {}
    for x in nums:
        r = x % m
        comp = (-r) % m
        count += freq.get(comp, 0)
        freq[r] = freq.get(r, 0) + 1
    return count",98013.93,125,2240,2339,2464,OK,
TYR-007,max_pair_sum,gpt-5,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    max1 = max2 = float('-inf')
    for x in nums:
        if x >= max1:
            max2 = max1
            max1 = x
        elif x > max2:
            max2 = x
    return max1 + max2",52020.66,128,2240,2327,2455,OK,
TYR-008,count_pairs_sum_less,gpt-5,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums = sorted(nums)
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
    return count",87551.82,108,4544,4633,4741,OK,
TYR-009,count_pairs_sum_greater,gpt-5,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    arr = sorted(nums)
    i, j = 0, len(arr) - 1
    count = 0
    while i < j:
        if arr[i] + arr[j] > target:
            count += j - i
            j -= 1
        else:
            i += 1
    return count",99455.11,109,2624,2714,2823,OK,
TYR-010,has_pair_product,gpt-5,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    if target == 0:
        for x in nums:
            if x == 0:
                if seen:
                    return 1
            elif 0 in seen:
                return 1
            seen.add(x)
        return 0
    for x in nums:
        if x != 0 and target % x == 0 and (target // x) in seen:
            return 1
        seen.add(x)
    return 0",138316.29,101,9472,9588,9689,OK,
