id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        if target - num in seen:
            return 1
        seen.add(num)
    return 0",3229.35,102,0,42,144,OK,
TYR-002,count_pairs_with_sum,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    from collections import Counter
    freq = Counter(nums)
    count = 0
    for num in freq:
        complement = target - num
        if complement in freq:
            if complement == num:
                count += freq[num] * (freq[num] - 1) // 2
            elif complement > num:
                count += freq[num] * freq[complement]
    return count",2621.01,109,0,98,207,OK,
TYR-003,has_pair_with_diff,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    seen = set()
    for num in nums:
        if num + target in seen or num - target in seen:
            return 1
        seen.add(num)
    return 0",1289.84,104,0,54,158,OK,
TYR-004,count_equal_pairs,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","def count_equal_pairs(nums):
    from collections import Counter
    freq = Counter(nums)
    count = 0
    for v in freq.values():
        count += v * (v - 1) // 2
    return count",994.30,103,0,55,158,OK,
TYR-005,closest_pair_sum,gpt-4.1,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    nums.sort()
    left, right = 0, len(nums) - 1
    best = nums[left] + nums[right]
    while left < right:
        s = nums[left] + nums[right]
        if abs(s - target) < abs(best - target):
            best = s
        if s < target:
            left += 1
        else:
            right -= 1
    return best",1261.89,138,0,115,253,OK,
TYR-006,count_pairs_divisible_sum,gpt-4.1,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    from collections import Counter
    rem_count = Counter(num % k for num in nums)
    count = 0
    for r in range(k):
        complement = (-r) % k
        if r < complement:
            count += rem_count[r] * rem_count[complement]
        elif r == complement:
            count += rem_count[r] * (rem_count[r] - 1) // 2
    return count",1554.93,126,0,119,245,OK,
TYR-007,max_pair_sum,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    first = second = float('-inf')
    for num in nums:
        if num > first:
            second = first
            first = num
        elif num > second:
            second = num
    return first + second",1419.36,129,0,73,202,OK,
TYR-008,count_pairs_sum_less,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
    return count",1128.13,109,0,83,192,OK,
TYR-009,count_pairs_sum_greater,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums.sort()
    n = len(nums)
    count = 0
    left, right = 0, n - 1
    while left < right:
        if nums[left] + nums[right] > target:
            count += right - left
            right -= 1
        else:
            left += 1
    return count",1334.19,110,0,88,198,OK,
TYR-010,has_pair_product,gpt-4.1,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    for num in nums:
        if num != 0 and target % num == 0:
            if target // num in seen:
                return 1
        elif num == 0 and target == 0:
            if 0 in seen:
                return 1
        seen.add(num)
    return 0",1223.94,102,0,85,187,OK,
TYR-011,min_abs_pair_diff,gpt-4.1,pair-finding,easy,O(N^2),O(N log N),"def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    best = abs(nums[0] - nums[1])
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            d = abs(nums[i] - nums[j])
            if d < best:
                best = d
    return best
","def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    nums.sort()
    best = float('inf')
    for i in range(len(nums) - 1):
        d = abs(nums[i] - nums[i + 1])
        if d < best:
            best = d
    return best",3797.41,134,0,78,212,OK,
