id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail,verdict,optimized_complexity_time,complexity_improved,verify_latency_ms
TYR-001,two_sum_exists,grok-3,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        if target - num in seen:
            return 1
        seen.add(num)
    return 0",3554.06,101,0,41,142,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,1469.86
TYR-002,count_pairs_with_sum,grok-3,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    count = 0
    num_freq = {}
    for num in nums:
        complement = target - num
        if complement in num_freq:
            count += num_freq[complement]
        num_freq[num] = num_freq.get(num, 0) + 1
    return count",56032.44,108,0,70,178,OK,"Tyr: Formal Proof Successful (UNSAT). The optimized code is mathematically equivalent to the original STRICTLY WITHIN the Bounded Model Checking limits (lists ≤ 5 elements, symbolic ranges ≤ 10 iterations, while-loops ≤ 30 iterations). No counterexample exists in this bounded domain.",UNSAT,O(n),True,2864.40
TYR-003,has_pair_with_diff,grok-3,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    seen = set()
    for num in nums:
        if num + target in seen or num - target in seen:
            return 1
        seen.add(num)
    return 0",56013.71,103,0,48,151,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n),True,1563.98
TYR-004,count_equal_pairs,grok-3,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","def count_equal_pairs(nums):
    freq = {}
    for num in nums:
        freq[num] = freq.get(num, 0) + 1
    
    count = 0
    for f in freq.values():
        count += (f * (f - 1)) // 2
        
    return count",57123.92,102,0,64,166,OK,Tyr: Verification Failed (SAT). A counterexample was found — the optimized code changes behaviour for the inputs shown.,SAT,O(n),True,2551.07
TYR-005,closest_pair_sum,grok-3,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    nums.sort()
    left = 0
    right = len(nums) - 1
    best = nums[left] + nums[right]
    while left < right:
        current_sum = nums[left] + nums[right]
        if abs(current_sum - target) < abs(best - target):
            best = current_sum
        if current_sum < target:
            left += 1
        elif current_sum > target:
            right -= 1
        else:
            break
    return best",61833.52,137,0,124,261,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 400 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n^2),Same,2390.85
TYR-006,count_pairs_divisible_sum,grok-3,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    remainder_count = [0] * k
    for num in nums:
        remainder = ((num % k) + k) % k
        remainder_count[remainder] += 1
    
    count = 0
    for i in range(k):
        if i == 0 or (k % 2 == 0 and i == k // 2):
            count += (remainder_count[i] * (remainder_count[i] - 1)) // 2
        else:
            j = k - i
            if j > i:
                count += remainder_count[i] * remainder_count[j]
    
    return count",53769.68,125,0,152,277,OK,b'parser error',ERROR,O(n),True,1563.54
TYR-007,max_pair_sum,grok-3,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    nums.sort()
    return nums[-1] + nums[-2]",59560.09,128,0,35,163,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 24 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n log n),True,1544.78
TYR-008,count_pairs_sum_less,grok-3,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left = 0
    right = len(nums) - 1
    
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
            
    return count",66356.18,108,0,78,186,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 400 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n^2),Same,1732.62
TYR-009,count_pairs_sum_greater,grok-3,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums.sort()
    count = 0
    left = 0
    right = len(nums) - 1
    
    while left < right:
        if nums[left] + nums[right] > target:
            count += right - left
            right -= 1
        else:
            left += 1
            
    return count",47715.74,109,0,79,188,OK,"Tyr: WARNING — Z3 symbolic solving timed out. Concrete testing across 400 inputs found no divergence, but this is empirical testing only, NOT a formal proof of equivalence. Edge-case bugs may still exist.",WARNING,O(n^2),Same,1776.91
TYR-010,has_pair_product,grok-3,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    for num in nums:
        if num != 0 and target % num == 0:
            complement = target // num
            if complement in seen:
                return 1
        seen.add(num)
    return 0",62352.03,101,0,60,161,OK,Tyr: Verification Failed (SAT via concrete testing). 2 divergence(s) found across 400 test inputs.,SAT,O(n),True,31505.25
