id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        complement = target - num
        if complement in seen:
            return 1
        seen.add(num)
    return 0",14879.39,100,71,557,657,OK,
TYR-002,count_pairs_with_sum,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    freq = {}
    count = 0
    for num in nums:
        complement = target - num
        if complement in freq:
            count += freq[complement]
        freq[num] = freq.get(num, 0) + 1
    return count",55407.86,108,361,1069,1177,OK,
TYR-003,has_pair_with_diff,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    if target < 0:
        return 0
    seen = set()
    for num in nums:
        if (num - target) in seen or (num + target) in seen:
            return 1
        seen.add(num)
    return 0",80446.35,102,1495,2967,3069,OK,
TYR-004,count_equal_pairs,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","from collections import defaultdict

def count_equal_pairs(nums):
    freq = defaultdict(int)
    for num in nums:
        freq[num] += 1
    total_pairs = 0
    for count in freq.values():
        total_pairs += count * (count - 1) // 2
    return total_pairs",34618.66,102,92,649,751,OK,
TYR-005,closest_pair_sum,DeepSeek-R1-0528,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    nums.sort()
    left, right = 0, len(nums) - 1
    best = None
    while left < right:
        s = nums[left] + nums[right]
        if best is None or abs(s - target) < abs(best - target):
            best = s
        if s == target:
            return best
        elif s < target:
            left += 1
        else:
            right -= 1
    return best",103727.99,137,3603,5772,5909,OK,
TYR-006,count_pairs_divisible_sum,DeepSeek-R1-0528,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    k_abs = abs(k)
    freq = {}
    for num in nums:
        r = num % k_abs
        freq[r] = freq.get(r, 0) + 1
        
    total = 0
    if 0 in freq:
        total += freq[0] * (freq[0] - 1) // 2
        
    if k_abs % 2 == 0:
        mid = k_abs // 2
        if mid in freq:
            total += freq[mid] * (freq[mid] - 1) // 2
            
    for r in freq:
        if r == 0:
            continue
        if k_abs % 2 == 0 and r == k_abs // 2:
            continue
        s = k_abs - r
        if r < s and s in freq:
            total += freq[r] * freq[s]
            
    return total",130829.54,125,6708,13264,13389,OK,
TYR-007,max_pair_sum,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    first = second = float('-inf')
    for n in nums:
        if n > first:
            second = first
            first = n
        elif n > second:
            second = n
    return first + second",89314.57,127,1266,2800,2927,OK,
TYR-008,count_pairs_sum_less,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += (right - left)
            left += 1
        else:
            right -= 1
    return count",100431.71,109,3946,6767,6876,OK,
TYR-009,count_pairs_sum_greater,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] > target:
            count += (right - left)
            right -= 1
        else:
            left += 1
    return count",121089.06,110,3551,6235,6345,OK,
TYR-010,has_pair_product,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    n = len(nums)
    if n < 2:
        return 0
        
    if target == 0:
        for num in nums:
            if num == 0:
                return 1
        return 0
        
    seen = set()
    for num in nums:
        if num == 0:
            continue
            
        if target % num == 0:
            complement = target // num
            if complement in seen:
                return 1
                
        seen.add(num)
        
    return 0",163708.27,100,5806,10233,10333,OK,
TYR-011,min_abs_pair_diff,DeepSeek-R1-0528,pair-finding,easy,O(N^2),O(N log N),"def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    best = abs(nums[0] - nums[1])
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            d = abs(nums[i] - nums[j])
            if d < best:
                best = d
    return best
","def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    nums.sort()
    min_diff = abs(nums[0] - nums[1])
    for i in range(1, len(nums) - 1):
        diff = abs(nums[i] - nums[i+1])
        if diff < min_diff:
            min_diff = diff
    return min_diff",7968.22,133,116,554,687,OK,
