id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        complement = target - num
        if complement in seen:
            return 1
        seen.add(num)
    return 0",10157.50,110,0,61,954,OK,
TYR-002,count_pairs_with_sum,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    seen_counts = {}
    count = 0
    for num in nums:
        complement = target - num
        if complement in seen_counts:
            count += seen_counts[complement]
        
        seen_counts[num] = seen_counts.get(num, 0) + 1
        
    return count",16102.05,118,0,95,1882,OK,
TYR-003,has_pair_with_diff,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    seen = set()
    # Ensure target is non-negative as we are dealing with absolute difference
    target = abs(target)
    for num in nums:
        if (num - target) in seen or (num + target) in seen:
            return 1
        seen.add(num)
    return 0",19615.67,114,0,92,2265,OK,
TYR-004,count_equal_pairs,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","import collections

def count_equal_pairs(nums):
    counts = collections.Counter(nums)
    total_pairs = 0
    for count in counts.values():
        total_pairs += count * (count - 1) // 2
    return total_pairs",29096.19,111,2284,67,2462,OK,
TYR-005,closest_pair_sum,gemini-2.5-pro,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0

    nums.sort()

    left, right = 0, len(nums) - 1
    best_sum = nums[0] + nums[1]

    while left < right:
        current_sum = nums[left] + nums[right]

        if abs(current_sum - target) < abs(best_sum - target):
            best_sum = current_sum

        if current_sum < target:
            left += 1
        elif current_sum > target:
            right -= 1
        else:
            return target
            
    return best_sum",38372.76,152,0,166,4761,OK,
TYR-006,count_pairs_divisible_sum,gemini-2.5-pro,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","import collections

def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    
    remainder_counts = collections.defaultdict(int)
    count = 0
    
    for num in nums:
        rem = num % k
        complement = (k - rem) % k
        count += remainder_counts[complement]
        remainder_counts[rem] += 1
        
    return count",32584.82,136,0,110,3796,OK,
TYR-007,max_pair_sum,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","import math

def max_pair_sum(nums):
    if len(nums) < 2:
        return 0

    largest = -math.inf
    second_largest = -math.inf

    for n in nums:
        if n > largest:
            second_largest = largest
            largest = n
        elif n > second_largest:
            second_largest = n
            
    return largest + second_largest",13351.79,141,0,103,1742,OK,
TYR-008,count_pairs_sum_less,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left = 0
    right = len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
    return count",29045.61,118,0,96,3381,OK,
TYR-009,count_pairs_sum_greater,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] > target:
            count += (right - left)
            right -= 1
        else:
            left += 1
    return count",22291.63,118,0,97,2542,OK,
TYR-010,has_pair_product,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    for num in nums:
        if num == 0:
            if target == 0:
                if 0 in seen:
                    return 1
            # If target is non-zero, a factor of 0 is not useful.
            # We add it to seen and continue.
        elif target % num == 0:
            complement = target // num
            if complement in seen:
                return 1
        seen.add(num)
    return 0",19426.87,110,0,130,2382,OK,
TYR-011,min_abs_pair_diff,gemini-2.5-pro,pair-finding,easy,O(N^2),O(N log N),"def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0
    best = abs(nums[0] - nums[1])
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            d = abs(nums[i] - nums[j])
            if d < best:
                best = d
    return best
","def min_abs_pair_diff(nums):
    if len(nums) < 2:
        return 0

    nums.sort()

    min_diff = float('inf')

    for i in range(len(nums) - 1):
        diff = nums[i+1] - nums[i]
        if diff < min_diff:
            min_diff = diff

    return min_diff",12860.09,149,0,100,1465,OK,
