id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,o3,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        if target - num in seen:
            return 1
        seen.add(num)
    return 0",14956.74,101,64,124,225,OK,
TYR-002,count_pairs_with_sum,o3,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    seen = {}
    count = 0
    for num in nums:
        complement = target - num
        count += seen.get(complement, 0)
        seen[num] = seen.get(num, 0) + 1
    return count",56048.76,108,64,145,253,OK,
TYR-003,has_pair_with_diff,o3,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    target = abs(target)
    seen = set()
    for num in nums:
        if num + target in seen or num - target in seen:
            return 1
        seen.add(num)
    return 0",57836.47,103,320,393,496,OK,
TYR-004,count_equal_pairs,o3,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","from collections import Counter

def count_equal_pairs(nums):
    counts = Counter(nums)
    return sum(v * (v - 1) // 2 for v in counts.values())",54576.15,102,64,120,222,OK,
TYR-005,closest_pair_sum,o3,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0

    nums.sort()
    left, right = 0, len(nums) - 1
    best = nums[left] + nums[right]

    while left < right:
        s = nums[left] + nums[right]
        if abs(s - target) < abs(best - target):
            best = s
            if best == target:
                return best
        if s < target:
            left += 1
        else:
            right -= 1
    return best",68496.85,137,1152,1295,1432,OK,
TYR-006,count_pairs_divisible_sum,o3,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    freq = {}
    total = 0
    for num in nums:
        r = num % k
        comp = (-r) % k
        total += freq.get(comp, 0)
        freq[r] = freq.get(r, 0) + 1
    return total",49043.83,125,448,555,680,OK,
TYR-007,max_pair_sum,o3,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    max1 = max2 = float('-inf')
    for x in nums:
        if x > max1:
            max2, max1 = max1, x
        elif x > max2:
            max2 = x
    return max1 + max2",51756.93,128,192,292,420,OK,
TYR-008,count_pairs_sum_less,o3,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
    return count",72203.70,108,1536,1632,1740,OK,
TYR-009,count_pairs_sum_greater,o3,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums = sorted(nums)
    left, right = 0, len(nums) - 1
    count = 0
    while left < right:
        if nums[left] + nums[right] > target:
            count += right - left
            right -= 1
        else:
            left += 1
    return count",66728.48,109,1280,1379,1488,OK,
TYR-010,has_pair_product,o3,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    if target == 0:
        zero_found = False
        for x in nums:
            if x == 0:
                if zero_found:
                    return 1
                zero_found = True
            elif zero_found:
                return 1
        return 0
    for x in nums:
        if x != 0 and target % x == 0 and (target // x) in seen:
            return 1
        seen.add(x)
    return 0",10579.98,101,512,643,744,OK,
