id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,o4-mini,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        if target - num in seen:
            return 1
        seen.add(num)
    return 0",9094.55,101,128,188,289,OK,
TYR-002,count_pairs_with_sum,o4-mini,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    freq = {}
    count = 0
    for num in nums:
        comp = target - num
        count += freq.get(comp, 0)
        freq[num] = freq.get(num, 0) + 1
    return count",32197.93,108,512,592,700,OK,
TYR-003,has_pair_with_diff,o4-mini,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    seen = set()
    for num in nums:
        if num + target in seen or num - target in seen:
            return 1
        seen.add(num)
    return 0",27153.22,103,256,328,431,OK,
TYR-004,count_equal_pairs,o4-mini,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","def count_equal_pairs(nums):
    count = 0
    freq = {}
    for num in nums:
        if num in freq:
            count += freq[num]
            freq[num] += 1
        else:
            freq[num] = 1
    return count",16127.04,102,320,395,497,OK,
TYR-005,closest_pair_sum,o4-mini,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    nums.sort()
    left, right = 0, len(nums) - 1
    best = nums[left] + nums[right]
    while left < right:
        s = nums[left] + nums[right]
        if abs(s - target) < abs(best - target):
            best = s
        if s > target:
            right -= 1
        else:
            left += 1
    return best",75571.56,137,1536,1669,1806,OK,
TYR-006,count_pairs_divisible_sum,o4-mini,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    rem_count = {}
    total = 0
    for num in nums:
        r = num % k
        comp = (-r) % k
        total += rem_count.get(comp, 0)
        rem_count[r] = rem_count.get(r, 0) + 1
    return total",24618.21,125,832,938,1063,OK,
TYR-007,max_pair_sum,o4-mini,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    max1 = max2 = float('-inf')
    for n in nums:
        if n > max1:
            max2, max1 = max1, n
        elif n > max2:
            max2 = n
    return max1 + max2",16611.66,128,512,612,740,OK,
TYR-008,count_pairs_sum_less,o4-mini,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left, right = 0, len(nums) - 1
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
    return count",25095.38,108,768,869,977,OK,
TYR-009,count_pairs_sum_greater,o4-mini,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums.sort()
    i, j, count = 0, len(nums) - 1, 0
    while i < j:
        if nums[i] + nums[j] > target:
            count += j - i
            j -= 1
        else:
            i += 1
    return count",31658.36,109,1792,1888,1997,OK,
TYR-010,has_pair_product,o4-mini,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    if target == 0:
        return 1 if nums.count(0) > 0 and len(nums) > 1 else 0
    seen = set()
    for num in nums:
        if num != 0 and target % num == 0 and target // num in seen:
            return 1
        seen.add(num)
    return 0",49894.99,101,3968,4076,4177,OK,
