id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    num_set = set()
    for num in nums:
        if target - num in num_set:
            return 1
        num_set.add(num)
    return 0",3089.14,130,0,49,179,OK,
TYR-002,count_pairs_with_sum,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    num_count = {}
    count = 0
    for num in nums:
        complement = target - num
        if complement in num_count:
            count += num_count[complement]
        num_count[num] = num_count.get(num, 0) + 1
    return count",3470.28,137,0,75,212,OK,
TYR-003,has_pair_with_diff,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    num_set = set()
    for num in nums:
        if num - target in num_set or num + target in num_set:
            return 1
        num_set.add(num)
    return 0",2879.19,132,0,57,189,OK,
TYR-004,count_equal_pairs,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","def count_equal_pairs(nums):
    freq = {}
    count = 0
    for num in nums:
        count += freq.get(num, 0)
        freq[num] = freq.get(num, 0) + 1
    return count",3088.00,131,0,56,187,OK,
TYR-005,closest_pair_sum,Meta-Llama-3.1-405B-Instruct,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    nums.sort()
    left, right = 0, len(nums) - 1
    best = nums[left] + nums[right]
    while left < right:
        s = nums[left] + nums[right]
        if abs(s - target) < abs(best - target):
            best = s
        if s < target:
            left += 1
        else:
            right -= 1
    return best",4875.37,166,0,114,280,OK,
TYR-006,count_pairs_divisible_sum,Meta-Llama-3.1-405B-Instruct,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    freq = [0] * k
    for num in nums:
        remainder = num % k
        complement = (k - remainder) % k
        count += freq[complement]
        freq[remainder] += 1
    return count",3379.52,154,0,86,240,OK,
TYR-007,max_pair_sum,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    max1, max2 = float('-inf'), float('-inf')
    for num in nums:
        if num > max1:
            max1, max2 = num, max1
        elif num > max2:
            max2 = num
    return max1 + max2",3259.29,157,0,85,242,OK,
TYR-008,count_pairs_sum_less,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left = 0
    right = len(nums) - 1
    
    while left < right:
        if nums[left] + nums[right] < target:
            count += right - left
            left += 1
        else:
            right -= 1
            
    return count",3343.94,137,0,83,220,OK,
TYR-009,count_pairs_sum_greater,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    nums.sort()
    left, right = 0, len(nums) - 1
    count = 0
    while left < right:
        if nums[left] + nums[right] > target:
            count += right - left
            right -= 1
        else:
            left += 1
    return count",3338.91,137,0,82,219,OK,
TYR-010,has_pair_product,Meta-Llama-3.1-405B-Instruct,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen = set()
    for num in nums:
        if target % num == 0 and target // num in seen:
            return 1
        seen.add(num)
    return 0",2329.88,130,0,53,183,OK,
