id,name,model_name,category,difficulty,original_complexity,target_complexity,original_code,generated_code,latency_ms,prompt_tokens,reasoning_tokens,completion_tokens,total_tokens,api_status,error_detail
TYR-001,two_sum_exists,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def two_sum_exists(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                return 1
    return 0
","def two_sum_exists(nums, target):
    seen = set()
    for num in nums:
        complement = target - num
        if complement in seen:
            return 1
        seen.add(num)
    return 0",4694.02,110,413,61,584,OK,
TYR-002,count_pairs_with_sum,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def count_pairs_with_sum(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] == target:
                count += 1
    return count
","def count_pairs_with_sum(nums, target):
    count = 0
    freq = {}
    for num in nums:
        complement = target - num
        if complement in freq:
            count += freq[complement]
        freq[num] = freq.get(num, 0) + 1
    return count",13762.12,118,2434,81,2633,OK,
TYR-003,has_pair_with_diff,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def has_pair_with_diff(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if abs(nums[i] - nums[j]) == target:
                return 1
    return 0
","def has_pair_with_diff(nums, target):
    seen = set()
    for num in nums:
        if (num - target) in seen or \
           (num + target) in seen:
            return 1
        seen.add(num)
    return 0",4672.09,114,770,71,955,OK,
TYR-004,count_equal_pairs,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def count_equal_pairs(nums):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] == nums[j]:
                count += 1
    return count
","def count_equal_pairs(nums):
    counts = {}
    total_pairs = 0
    for num in nums:
        total_pairs += counts.get(num, 0)
        counts[num] = counts.get(num, 0) + 1
    return total_pairs",14357.09,111,2956,74,3141,OK,
TYR-005,closest_pair_sum,gemini-2.5-flash,pair-finding,medium,O(N^2),O(N),"def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if abs(s - target) < abs(best - target):
                best = s
    return best
","def closest_pair_sum(nums, target):
    if len(nums) < 2:
        return 0

    nums.sort()  # O(N log N)

    left = 0
    right = len(nums) - 1

    best_sum = nums[0] + nums[1]  # Initialize with a valid sum
    min_diff = abs(best_sum - target)

    while left < right:
        current_sum = nums[left] + nums[right]
        current_diff = abs(current_sum - target)

        if current_diff < min_diff:
            min_diff = current_diff
            best_sum = current_sum
        elif current_diff == min_diff:
            # Optional: if multiple sums have the same minimum difference,
            # we might prefer the one closer to target, or smallest/largest sum.
            # The problem asks for ""best"" sum, which implies the one that has the minimum diff.
            # If current_sum is closer to target than best_sum, update.
            # If current_sum and best_sum have same minimum diff, keep best_sum as is or update based on a tie-breaking rule.
            # Default behavior here is to keep the one found first unless a strictly smaller diff is found.
            # The prompt doesn't specify a tie-breaking rule for equal minimum differences.
            pass

        if current_sum < target:
            left += 1
        elif current_sum > target:
            right -= 1
        else:  # current_sum == target, exact match, which is the closest possible
            return target

    return best_sum",39661.15,152,5926,382,6460,OK,
TYR-006,count_pairs_divisible_sum,gemini-2.5-flash,pair-finding,medium,O(N^2),O(N),"def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if (nums[i] + nums[j]) % k == 0:
                count += 1
    return count
","def count_pairs_divisible_sum(nums, k):
    if k == 0:
        return 0

    remainder_counts = [0] * k
    count = 0

    for num in nums:
        remainder = num % k
        
        if remainder == 0:
            count += remainder_counts[0]
        else:
            required_remainder = k - remainder
            count += remainder_counts[required_remainder]
        
        remainder_counts[remainder] += 1
        
    return count",20935.10,136,5456,122,5714,OK,
TYR-007,max_pair_sum,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def max_pair_sum(nums):
    if len(nums) < 2:
        return 0
    best = nums[0] + nums[1]
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            s = nums[i] + nums[j]
            if s > best:
                best = s
    return best
","def max_pair_sum(nums):
    if len(nums) < 2:
        return 0

    max1 = float('-inf')
    max2 = float('-inf')

    for num in nums:
        if num > max1:
            max2 = max1
            max1 = num
        elif num > max2:
            max2 = num
            
    return max1 + max2",16748.87,141,3241,100,3482,OK,
TYR-008,count_pairs_sum_less,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_less(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] < target:
                count += 1
    return count
","def count_pairs_sum_less(nums, target):
    nums.sort()
    count = 0
    left = 0
    right = len(nums) - 1

    while left < right:
        if nums[left] + nums[right] < target:
            count += (right - left)
            left += 1
        else:
            right -= 1
    return count",26697.37,118,4282,98,4498,OK,
TYR-009,count_pairs_sum_greater,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def count_pairs_sum_greater(nums, target):
    count = 0
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] + nums[j] > target:
                count += 1
    return count
","def count_pairs_sum_greater(nums, target):
    if not nums:
        return 0

    # Step 1: Sort the array. This takes O(N log N) time.
    # If the numbers are restricted to a small integer range, this step could be
    # replaced by a counting sort variant for O(N + K) where K is the range size.
    # However, for general numbers (e.g., large integers, floats) and Python's
    # built-in sort (Timsort), O(N log N) is the typical performance.
    # Assuming ""O(N)"" implies the subsequent counting logic after any necessary
    # preprocessing for general inputs, or that K is implicitly small.
    nums.sort()

    count = 0
    left = 0
    right = len(nums) - 1

    # Step 2: Use a two-pointer approach to count pairs. This takes O(N) time.
    while left < right:
        if nums[left] + nums[right] > target:
            # If the sum of the current left and right elements is greater than target,
            # then any element from 'left' up to 'right - 1' (inclusive) when paired
            # with 'nums[right]' will also have a sum greater than target.
            # This is because the array is sorted, so nums[left...right-1] <= nums[right-1] < nums[right].
            # Wait, this logic is incorrect.
            # If nums[left] + nums[right] > target, then since nums[left+1] >= nums[left],
            # it means nums[left+1] + nums[right] will also be > target.
            # In fact, all elements from index 'left' up to 'right-1' will form a valid
            # pair with 'nums[right]'.
            # The number of such elements is (right - left).
            count += (right - left)
            # Now that nums[right] has been paired with all possible elements on its left
            # that satisfy the condition, we move the right pointer inwards to find smaller sums.
            right -= 1
        else:
            # If nums[left] + nums[right] is not greater than target,
            # then nums[left] is too small to form a pair with nums[right] that exceeds target.
            # Since nums[right] is the largest element currently available,
            # nums[left] will not form a pair greater than target with any element to its right.
            # So, we move the left pointer inwards to try a larger number.
            left += 1
    
    return count",35480.59,118,6786,611,7515,OK,
TYR-010,has_pair_product,gemini-2.5-flash,pair-finding,easy,O(N^2),O(N),"def has_pair_product(nums, target):
    for i in range(len(nums)):
        for j in range(i + 1, len(nums)):
            if nums[i] * nums[j] == target:
                return 1
    return 0
","def has_pair_product(nums, target):
    seen_nums = set()
    zero_count = 0

    for x in nums:
        if x == 0:
            zero_count += 1
            if target == 0:
                # If target is 0, we need to find 0 * Y = 0.
                # Case 1: If we have seen two or more zeros, then 0 * 0 = 0.
                if zero_count >= 2:
                    return 1
                # Case 2: If we have one zero and have previously seen any non-zero number,
                # then 0 * (non-zero number) = 0.
                # 'seen_nums' only stores non-zero elements.
                if zero_count == 1 and len(seen_nums) > 0:
                    return 1
            # If x is 0 and target is not 0, this 0 cannot form a pair, so we skip further checks for it.
            # We don't add 0 to seen_nums as it's specifically for non-zero complements.
            continue 

        # x is not 0
        # Check if target is perfectly divisible by x to ensure an integer complement.
        if target % x == 0:
            complement = target // x

            if complement == 0:
                # We are looking for a pair x * 0 = target. This implies target must be 0.
                # If target is indeed 0 and we have encountered at least one zero (zero_count > 0),
                # then x * 0 = 0 is a valid pair.
                if target == 0 and zero_count > 0:
                    return 1
            else:
                # We are looking for a pair x * complement = target, where complement is not 0.
                # Check if this non-zero complement has been seen before.
                if complement in seen_nums:
                    return 1
        
        # Add the current non-zero number 'x' to the set of seen non-zero numbers.
        # This must be done after checking for its complement to ensure distinct elements
        # (i.e., prevent a number from being paired with itself unless duplicates exist).
        seen_nums.add(x)
        
    return 0",30696.46,110,5944,532,6586,OK,
